Country;Bun_Con;Bun_Res_Oil_Con;Cru_Exp;Cru_Imp;Cru_Pro;Cru_Res;Die_Con;Die_Pro;Jet_Con;Jet_Pro;Ker_Con;Ker_Pro;LPG_Con;LPG_Pro;Gas_Con;Gas_Pro;NG_Lq_Pro;Otr_Lq_Pro;Otr_Ref_Con;Otr_Ref_Pro;CO2_Pet_MMT;Liq_Con;Liq_Pro;Ref_Con;Ref_Pro;Gan_Ref;Res_Oil_Con;Res_Oil_Pro;Bio_Cap;Bio_Gen;Per_Dis;Ele_Exp;Ele_Imp;Cap_Tot;Con_Ele;Gen_Ele;Net_Imp_Ele;Fos_Cap;Fos_Gen;Geo_Cap;Geo_Gen;Hid_Bom_Cap;Hid_Bom_Gen;Hid_Cap;Hid_Gen;Ren_No_Hid_Cap;Ren_No_Hid_Gen;Nuc_Cap;Nuc_Gen;Ren_Cap;Ren_Gen;Sol_Cap;Sol_Gen;Mar_Cap;Mar_Gen;Eol_Cap;Eol_Gen
Sweden;32;26;0;378;0;0;105;150;19;5.4;0;0;31;13;64;112;0;5.7;49;71;40;302;12;302;407;5.8;34;56;4.9;12;7.3;29;14;39;127;150;-16;3.2;1.7;0;0;0;0;16;63;10;23;9.5;62;26;86;0;0;0;0;5.1;11
Switzerland;0;0;0;99;0;0;114;54;34;0.4;0;0;5.3;5.5;62;33;0;0.1;14;6.4;33;230;3;230;106;2.9;0.7;7;0.4;3;4.7;34;29;19;55;65;-5.5;0.3;0.5;0;0;9.8;-0.7;3.9;35;1.5;3.9;3.3;26;5.5;39;1.1;0.8;0;0;0;0.1
Syria;5.2;0.4;1.3;83;23;2.5;49;35;2;3.5;0;0;14;1.9;21;10;9.7;0;8;19;18;127;31;127;112;-1.6;33;42;0;0;4.5;0.1;0;9.6;15;20;-0.1;8.1;18;0;0;0;0;1.5;2.3;0;0;0;0;1.5;2.4;0;0;0;0;0;0
Taiwan;73;19;0;863;0.2;0;98;294;57;80;0;0;80;30;170;260;0;1.1;480;182;90;947;25;947;920;24;62;74;0.7;3.6;9;0;0;48;247;256;0;37;205;0;0;2.6;-0.5;2.1;4.3;2;5.6;5.1;42;4.1;9.9;0.6;0.5;0;0;0.6;1.5
Thailand;95;19;11;832;233;0.4;364;415;95;114;0.2;11;241;61;147;170;203;38;354;338;136;1252;493;1252;1221;19;52;113;2.8;7.2;11;2.1;12;39;162;163;10;30;148;0;0;1;0;3.5;5.5;4.4;8.9;0;0;7.9;14;1.3;1.4;0;0;0.2;0.3
TrinidadandTobago;13;6.9;33;74;68;0.7;13;17;7.1;10;0.7;0.7;1;0.5;12;17;33;2;6.7;15;6.9;49;102;49;109;-1.1;8.3;49;0;0;0.2;0;0;2.5;8.6;8.9;0;2.5;8.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tunisia;6;0;44;25;50;0.4;37;13;6;0;1.1;1.1;16;0.9;13;0;4;0;16;9.1;13;96;53;96;35;-0.4;7;11;0;0;2.8;0.6;0.5;5;15;18;0;4.7;17;0;0;0;0;0;0;0.3;0.5;0;0;0.3;0.6;0;0;0;0;0.2;0.5
Turkey;19;16;0;353;48;0.3;363;127;76;77;0.9;1.2;119;22;45;92;0;2;121;70;103;763;56;763;457;6;37;68;0.2;1.1;37;2.7;8;66;187;219;5.3;38;168;0.4;2;0;0;24;40;4.4;12;0;0;28;52;0;0;0;0.3;3.6;8.5
Turkmenistan;10;0;64;0;239;0.6;43;57;10;10;3.2;3.2;32;12;35;61;21;0;13;15;21;155;263;155;191;2.8;19;33;0;0;2.5;3.2;0;4;13;19;-3.2;4;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ukraine;2.8;0;0.8;7.3;40;0.4;116;17;3.2;0;0;0;28;14;66;17;20;0.8;29;20;33;246;65;246;78;4;3;10;0;0.1;20;8.5;0;56;143;171;-8.4;35;78;0;0;1.2;-0.3;4.7;8.4;1.4;1.7;13;83;6;10;0.8;0.4;0;0;0.5;1.1
